FechaProceso	Identificador	Agregado	Descripción
16/10/1997	1	27194	línea 1
09/01/1995	2	12472	línea 2
29/10/1996	3	30798	línea 3
16/08/2000	4	10398	línea 4
28/08/1996	5	-1843	línea 5
16/02/1997	6	6000	línea 6
20/08/1997	7	5970	línea 7
21/08/2000	8	-1857	línea 8
07/05/1996	9	16279	línea 9
07/04/1997	10	34849	línea 10
27/05/1995	11	13000	línea 11
01/09/1999	12	31675	línea 12
19/08/1996	13	24884	línea 13
14/05/1996	14	5781	línea 14
23/12/2000	15	33931	línea 15
31/08/1995	16	17306	línea 16
14/06/1996	17	20955	línea 17
17/02/1997	18	19936	línea 18
10/10/1999	19	31135	línea 19
29/12/1997	20	31671	línea 20
22/07/1996	21	30144	línea 21
12/05/1997	22	29138	línea 22
18/05/1996	23	10448	línea 23
17/02/1996	24	5287	línea 24
21/02/1997	25	36685	línea 25
15/06/2000	26	35108	línea 26
23/09/1996	27	30929	línea 27
28/04/1999	28	26569	línea 28
19/02/1996	29	17833	línea 29
03/06/1998	30	2199	línea 30
04/04/1998	31	16280	línea 31
16/02/1998	32	15013	línea 32
17/05/1995	33	31632	línea 33
14/10/1995	34	18558	línea 34
14/03/1998	35	24169	línea 35
03/10/1996	36	8728	línea 36
12/01/2000	37	17263	línea 37
26/05/2000	38	20710	línea 38
05/03/1998	39	1355	línea 39
06/07/1996	40	-2094	línea 40
24/05/1995	41	10328	línea 41
03/09/1998	42	5546	línea 42
10/03/1999	43	-2251	línea 43
18/09/1996	44	36537	línea 44
04/02/2000	45	24376	línea 45
20/04/1999	46	-2962	línea 46
19/07/2000	47	20845	línea 47
12/12/1999	48	11382	línea 48
16/10/1999	49	8922	línea 49
04/02/1998	50	31809	línea 50
26/02/1997	51	6558	línea 51
25/04/1995	52	31903	línea 52
26/05/2000	53	1872	línea 53
28/12/2000	54	1006	línea 54
21/02/1996	55	21017	línea 55
16/09/1999	56	13473	línea 56
02/08/2000	57	6108	línea 57
11/06/1998	58	23779	línea 58
09/04/1996	59	33303	línea 59
26/05/2000	60	6387	línea 60
